year,school,talent
2021,Alabama,1004.04
2021,Georgia,1001.79
2021,Ohio State,985.09
2021,Clemson,935.08
2021,LSU,903.72
2021,Oklahoma,895.38
2021,Texas A&M,888.35
2021,Oregon,885.75
2021,Florida,885.67
2021,USC,874.50
2021,Texas,874.19
2021,Notre Dame,853.10
2021,Miami,841.45
2021,Auburn,840.38
2021,Michigan,832.60
2021,Penn State,820.72
2021,North Carolina,798.29
2021,Washington,789.51
2021,Tennessee,780.83
2021,Florida State,769.76
2021,Wisconsin,750.89
2021,South Carolina,747.88
2021,UCLA,746.02
2021,Stanford,745.30
2021,Nebraska,743.70
2021,Arizona State,734.45
2021,Ole Miss,732.02
2021,Arkansas,722.84
2021,Mississippi State,716.17
2021,Kentucky,709.07
2021,Utah,707.72
2021,Georgia Tech,707.35
2021,Maryland,705.79
2021,NC State,700.36
2021,TCU,698.52
2021,Michigan State,677.07
2021,Pittsburgh,668.67
2021,Indiana,664.25
2021,Virginia Tech,663.78
2021,California,662.11
2021,Baylor,660.65
2021,Iowa,657.39
2021,Minnesota,653.25
2021,Northwestern,648.79
2021,Missouri,647.74
2021,Purdue,644.23
2021,Colorado,640.85
2021,Oregon State,640.66
2021,UCF,639.06
2021,Boston College,636.46
2021,Illinois,630.16
2021,Cincinnati,626.54
2021,Virginia,619.61
2021,Oklahoma State,613.69
2021,Iowa State,613.60
2021,West Virginia,611.29
2021,Vanderbilt,609.82
2021,Louisville,607.77
2021,Texas Tech,607.10
2021,Duke,605.57
2021,Washington State,601.16
2021,Wake Forest,589.19
2021,SMU,576.03
2021,Rutgers,573.14
2021,Memphis,572.13
2021,Houston,571.21
2021,Kansas State,569.65
2021,Arizona,567.61
2021,Syracuse,567.19
2021,Boise State,557.69
2021,Florida Atlantic,553.28
2021,Kansas,548.10
2021,South Florida,540.51
2021,Western Kentucky,524.97
2021,Louisiana Tech,520.48
2021,East Carolina,516.06
2021,UT San Antonio,508.77
2021,Temple,501.40
2021,North Texas,496.31
2021,Middle Tennessee,494.02
2021,Fresno State,483.77
2021,Arkansas State,475.74
2021,Florida Intl,472.59
2021,Tulsa,470.49
2021,Southern Mississippi,465.94
2021,Toledo,465.40
2021,Tulane,463.02
2021,Charlotte,462.67
2021,Marshall,456.97
2021,Appalachian State,450.04
2021,Troy,448.77
2021,UAB,444.37
2021,Colorado State,443.16
2021,BYU,443.13
2021,San Diego State,441.63
2021,Louisiana,435.63
2021,Texas State,428.48
2021,Nevada,421.64
2021,Rice,419.65
2021,Coastal Carolina,415.91
2021,South Alabama,415.07
2021,Georgia State,413.91
2021,San José State,410.81
2021,Old Dominion,409.31
2021,Hawai'i,397.43
2021,Western Michigan,396.47
2021,Utah State,394.37
2021,UNLV,392.44
2021,Georgia Southern,383.76
2021,Bowling Green,380.74
2021,Miami (OH),378.03
2021,New Mexico,360.77
2021,Kent State,357.85
2021,Northern Illinois,354.21
2021,Eastern Michigan,340.60
2021,Ball State,338.31
2021,Ohio,332.25
2021,Connecticut,331.90
2021,Akron,330.97
2021,Wyoming,326.65
2021,UTEP,318.65
2021,Louisiana Monroe,312.31
2021,Central Michigan,268.89
2021,Buffalo,267.09
2021,Southeastern Louisiana,231.02
2021,UMass,227.21
2021,Eastern Kentucky,222.50
2021,Missouri State,205.25
2021,Chattanooga,193.46
2021,Nicholls,189.98
2021,McNeese,182.46
2021,Jackson State,173.86
2021,Northern Colorado,156.11
2021,Jacksonville State,155.11
2021,Liberty,154.75
2021,UT Martin,149.55
2021,North Carolina A&T,132.73
2021,Towson,130.70
2021,Florida A&M,127.97
2021,Navy,127.63
2021,Rhode Island,127.52
2021,Northwestern State,126.22
2021,North Alabama,123.39
2021,Idaho,122.44
2021,Southern,120.88
2021,New Mexico State,117.43
2021,Weber State,116.62
2021,Stephen F. Austin,115.81
2021,Northern Arizona,115.62
2021,Army,111.53
2021,Sam Houston State,111.50
2021,Northern Iowa,108.66
2021,Campbell,108.65
2021,Southern Illinois,107.83
2021,Murray State,104.85
2021,James Madison,102.89
2021,Abilene Christian,96.46
2021,Maine,95.00
2021,Montana,94.99
2021,Montana State,92.72
2021,Youngstown State,90.76
2021,Tennessee State,88.82
2021,Eastern Illinois,87.86
2021,Austin Peay,87.48
2021,Western Illinois,82.24
2021,Portland State,81.34
2021,North Carolina Central,80.58
2021,Cal Poly,80.30
2021,Stony Brook,80.27
2021,Duquesne,77.09
2021,Alcorn State,71.95
2021,Idaho State,71.55
2021,Sacramento State,71.20
2021,Bethune-Cookman,70.64
2021,Samford,70.11
2021,Central Arkansas,68.32
2021,Texas Southern,62.70
2021,Gardner-Webb,58.53
2021,Western Carolina,57.52
2021,Eastern Washington,57.26
2021,Prairie View,56.79
2021,Incarnate Word,54.60
2021,UC Davis,51.38
2021,Illinois State,51.04
2021,North Dakota State,50.33
2021,East Tennessee State,49.58
2021,Alabama A&M,49.54
2021,South Dakota,46.05
2021,Indiana State,45.15
2021,Morgan State,44.52
2021,Elon,43.03
2021,Furman,39.37
2021,William & Mary,38.56
2021,San Diego,37.37
2021,Lehigh,36.97
2021,Kennesaw State,36.62
2021,Richmond,35.81
2021,Charleston Southern,34.78
2021,Hampton,33.45
2021,Air Force,30.32
2021,Delaware,29.77
2021,Southeast Missouri State,26.12
2021,Sacred Heart,24.95
2021,Albany,24.67
2021,Yale,24.05
2021,The Citadel,23.94
2021,Mercer,23.81
2021,Fordham,22.86
2021,Lafayette,22.41
2021,Wagner,21.98
2021,Tennessee Tech,19.20
2021,Tarleton State,18.04
2021,Jacksonville,17.49
2021,Arkansas-Pine Bluff,15.35
2021,Bryant,14.59
2021,Valparaiso,14.28
2021,Stetson,14.06
2021,South Dakota State,13.27
2021,Monmouth,13.17
2021,Brown,9.44
2021,Wofford,7.83
2021,New Hampshire,7.81
2021,St Francis (PA),7.30
2021,Houston Baptist,5.41
